127.0.0.1 - - [11/Nov/2019:09:33:27 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [11/Nov/2019:09:33:28 +0900] "GET /JSP_01_Hello/index.jsp HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [11/Nov/2019:09:33:28 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [11/Nov/2019:09:37:24 +0900] "GET /JSP_01_Hello/home.jsp HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [11/Nov/2019:09:37:44 +0900] "GET /JSP_01_Hello/index.jsp HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [11/Nov/2019:09:37:51 +0900] "GET /JSP_01_Hello/home.jsp HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [11/Nov/2019:09:38:25 +0900] "GET /JSP_01_Hello/home.jsp HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [11/Nov/2019:09:38:38 +0900] "GET /JSP_01_Hello/home.jsp HTTP/1.1" 200 223
0:0:0:0:0:0:0:1 - - [11/Nov/2019:09:38:38 +0900] "GET /JSP_01_Hello/home.jsp HTTP/1.1" 200 223
0:0:0:0:0:0:0:1 - - [11/Nov/2019:09:41:42 +0900] "GET /JSP_01_Hello/home.jsp HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [11/Nov/2019:09:42:40 +0900] "GET /JSP_01_Hello/home.jsp HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [11/Nov/2019:09:48:34 +0900] "GET /JSP_01_Hello/home.jsp HTTP/1.1" 200 470
0:0:0:0:0:0:0:1 - - [11/Nov/2019:10:04:44 +0900] "GET /JSP_01_Hello/home.jsp HTTP/1.1" 200 2885
0:0:0:0:0:0:0:1 - - [11/Nov/2019:10:06:27 +0900] "GET /JSP_01_Hello/home.jsp HTTP/1.1" 200 5210
0:0:0:0:0:0:0:1 - - [11/Nov/2019:10:08:01 +0900] "GET /JSP_01_Hello/home.jsp HTTP/1.1" 200 5305
0:0:0:0:0:0:0:1 - - [11/Nov/2019:10:10:30 +0900] "GET /JSP_01_Hello/home.jsp HTTP/1.1" 200 5629
0:0:0:0:0:0:0:1 - - [11/Nov/2019:10:14:34 +0900] "GET /JSP_01_Hello/home.jsp HTTP/1.1" 200 6015
0:0:0:0:0:0:0:1 - - [11/Nov/2019:10:16:37 +0900] "GET /JSP_01_Hello/home.jsp HTTP/1.1" 200 6154
0:0:0:0:0:0:0:1 - - [11/Nov/2019:10:17:56 +0900] "GET /JSP_01_Hello/mypage.jsp HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [11/Nov/2019:10:18:38 +0900] "GET /JSP_01_Hello/mypage.jsp HTTP/1.1" 200 322
0:0:0:0:0:0:0:1 - - [11/Nov/2019:10:20:20 +0900] "GET /JSP_01_Hello/mypage.jsp HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [11/Nov/2019:10:21:58 +0900] "GET /JSP_01_Hello/mypage.jsp HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [11/Nov/2019:10:21:58 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [11/Nov/2019:10:22:30 +0900] "GET /JSP_01_Hello/mypage.jsp HTTP/1.1" 200 631
0:0:0:0:0:0:0:1 - - [11/Nov/2019:10:25:25 +0900] "GET /JSP_01_Hello/mypage.jsp HTTP/1.1" 200 778
0:0:0:0:0:0:0:1 - - [11/Nov/2019:10:25:56 +0900] "GET /JSP_01_Hello/mypage.jsp?strName=%EC%9D%B4%EB%AA%BD%EB%A3%A1 HTTP/1.1" 200 778
0:0:0:0:0:0:0:1 - - [11/Nov/2019:10:26:14 +0900] "GET /JSP_01_Hello/mypage.jsp HTTP/1.1" 200 778
0:0:0:0:0:0:0:1 - - [11/Nov/2019:10:27:07 +0900] "GET /JSP_01_Hello/mypage.jsp HTTP/1.1" 500 2870
0:0:0:0:0:0:0:1 - - [11/Nov/2019:10:28:05 +0900] "GET /JSP_01_Hello/mypage.jsp?strName=%EC%9D%B4%EB%AA%BD%EB%A3%A1 HTTP/1.1" 200 777
0:0:0:0:0:0:0:1 - - [11/Nov/2019:10:28:06 +0900] "GET /JSP_01_Hello/mypage.jsp?strName=%EC%9D%B4%EB%AA%BD%EB%A3%A1 HTTP/1.1" 200 777
0:0:0:0:0:0:0:1 - - [11/Nov/2019:10:28:06 +0900] "GET /JSP_01_Hello/mypage.jsp?strName=%EC%9D%B4%EB%AA%BD%EB%A3%A1 HTTP/1.1" 200 777
0:0:0:0:0:0:0:1 - - [11/Nov/2019:10:28:07 +0900] "GET /JSP_01_Hello/mypage.jsp?strName=%EC%9D%B4%EB%AA%BD%EB%A3%A1 HTTP/1.1" 200 777
0:0:0:0:0:0:0:1 - - [11/Nov/2019:10:28:07 +0900] "GET /JSP_01_Hello/mypage.jsp?strName=%EC%9D%B4%EB%AA%BD%EB%A3%A1 HTTP/1.1" 200 777
0:0:0:0:0:0:0:1 - - [11/Nov/2019:10:28:08 +0900] "GET /JSP_01_Hello/mypage.jsp?strName=%EC%9D%B4%EB%AA%BD%EB%A3%A1 HTTP/1.1" 200 777
0:0:0:0:0:0:0:1 - - [11/Nov/2019:10:28:08 +0900] "GET /JSP_01_Hello/mypage.jsp?strName=%EC%9D%B4%EB%AA%BD%EB%A3%A1 HTTP/1.1" 200 777
0:0:0:0:0:0:0:1 - - [11/Nov/2019:10:28:09 +0900] "GET /JSP_01_Hello/mypage.jsp?strName=%EC%9D%B4%EB%AA%BD%EB%A3%A1 HTTP/1.1" 200 777
0:0:0:0:0:0:0:1 - - [11/Nov/2019:10:28:09 +0900] "GET /JSP_01_Hello/mypage.jsp?strName=%EC%9D%B4%EB%AA%BD%EB%A3%A1 HTTP/1.1" 200 777
0:0:0:0:0:0:0:1 - - [11/Nov/2019:10:28:10 +0900] "GET /JSP_01_Hello/mypage.jsp?strName=%EC%9D%B4%EB%AA%BD%EB%A3%A1 HTTP/1.1" 200 777
0:0:0:0:0:0:0:1 - - [11/Nov/2019:10:28:10 +0900] "GET /JSP_01_Hello/mypage.jsp?strName=%EC%9D%B4%EB%AA%BD%EB%A3%A1 HTTP/1.1" 200 777
0:0:0:0:0:0:0:1 - - [11/Nov/2019:10:28:11 +0900] "GET /JSP_01_Hello/mypage.jsp?strName=%EC%9D%B4%EB%AA%BD%EB%A3%A1 HTTP/1.1" 200 777
0:0:0:0:0:0:0:1 - - [11/Nov/2019:10:28:12 +0900] "GET /JSP_01_Hello/mypage.jsp?strName=%EC%9D%B4%EB%AA%BD%EB%A3%A1 HTTP/1.1" 200 777
0:0:0:0:0:0:0:1 - - [11/Nov/2019:10:28:12 +0900] "GET /JSP_01_Hello/mypage.jsp?strName=%EC%9D%B4%EB%AA%BD%EB%A3%A1 HTTP/1.1" 200 777
